ID,Category,Question,Option1,Option2,Option3,Option4,Answer,Hint
q_1148,"ICT Applications","The term 'Online Banking' is associated with which field?","Networking","Logic Gates","ICT Applications","Data Representation","ICT Applications","Think about how technology helps society."
q_1149,"Legal/Ethical","Which Act in Sri Lanka governs aspects of ICT?","Forest Act","Housing Act","Traffic Act","Intellectual Property Act","Intellectual Property Act","Look for Computer/Electronic/Intellectual Property laws."
q_1150,"ICT Applications","The term 'Online Banking' is associated with which field?","Networking","Logic Gates","ICT Applications","Data Representation","ICT Applications","Think about how technology helps society."
q_1151,"SDLC","Which of the following is a phase in the Systems Development Life Cycle?","Gaming","Data Entry","Printing","Requirement Identification","Requirement Identification","It is a step in building software."
q_1152,"Legal/Ethical","Which Act in Sri Lanka governs aspects of ICT?","Housing Act","Electronic Transactions Act","Traffic Act","Forest Act","Electronic Transactions Act","Look for Computer/Electronic/Intellectual Property laws."
q_1153,"Programming (Pascal)","Which of the following is a reserved keyword in Pascal?","Real","Login","WiFi","System32","Real","It is part of Pascal language keywords."
q_1154,"Logic Gates","Which logic gate performs a Boolean logic operation?","SSD","NAND","BIOS","USB","NAND","Logic gates operate on TRUE/FALSE values."
q_1155,"Health/Security","Which of the following is a cyber security threat?","Firewall","Backup","Antivirus","Spam","Spam","Threats are malicious software or attacks."
q_1156,"Databases","In a database, what does the term 'Table' refer to?","A hardware port","A database structural element","A web browser","A network protocol","A database structural element","Tables, records, keys and queries are database elements."
q_1157,"Programming (Pascal)","Identify the valid Pascal keyword from the options:","End","System32","WiFi","Login","End","It is part of Pascal language keywords."
q_1158,"Logic Gates","Which logic gate performs a Boolean logic operation?","BIOS","SSD","NOR","USB","NOR","Logic gates operate on TRUE/FALSE values."
q_1159,"ICT Applications","Which of the following is a common application of ICT in modern society?","Pascal Syntax","CPU Architecture","Smart Agriculture","Binary Logic","Smart Agriculture","Think about how technology helps society."
q_1160,"Hardware","Which of the following is classified as an Input Device?","Plotter","Speaker","Plotter","Microphone","Microphone","Input devices send data INTO the computer."
q_1161,"Health/Security","Which of the following is a cyber security threat?","Antivirus","Spam","Backup","Firewall","Spam","Threats are malicious software or attacks."
q_1162,"Health/Security","Which of the following is a cyber security threat?","Backup","Firewall","Antivirus","Virus","Virus","Threats are malicious software or attacks."
q_1163,"Programming (Pascal)","Identify the valid Pascal keyword from the options:","Login","Repeat..Until","System32","WiFi","Repeat..Until","It is part of Pascal language keywords."
q_1164,"ICT Applications","Which of the following is a common application of ICT in modern society?","Pascal Syntax","Binary Logic","Tele-medicine","CPU Architecture","Tele-medicine","Think about how technology helps society."
q_1165,"Web Development","Which HTML tag is used to insert a line break?","[link]","{code}","<invalid>","<br>","<br>","HTML tags start with < and end with >."
q_1166,"Databases","In a database, what does the term 'Form' refer to?","A hardware port","A web browser","A database structural element","A network protocol","A database structural element","Tables, records, keys and queries are database elements."
q_1167,"Logic Gates","Which logic gate performs a Boolean logic operation?","OR","USB","BIOS","SSD","OR","Logic gates operate on TRUE/FALSE values."
q_1168,"Hardware","Which generation of computers is associated with Vacuum Tubes (1st Gen)?","Vacuum Tubes (1st Gen)","Microprocessors (4th Gen)","Integrated Circuits (3rd Gen)","Transistors (2nd Gen)","Vacuum Tubes (1st Gen)","Input devices send data INTO the computer."
q_1169,"Data Representation","Which storage unit is valid and commonly used?","Pixel","Terabyte (TB)","Hertz","Volt","Terabyte (TB)","Think about file sizes (KB, MB, GB)."
q_1170,"Health/Security","Which of the following is a cyber security threat?","Antivirus","Backup","Firewall","Virus","Virus","Threats are malicious software or attacks."
q_1171,"Data Representation","Which storage unit is valid and commonly used?","Volt","Terabyte (TB)","Hertz","Pixel","Terabyte (TB)","Think about file sizes (KB, MB, GB)."
q_1172,"Programming (Pascal)","Which of the following is a reserved keyword in Pascal?","System32","For..Do","WiFi","Login","For..Do","It is part of Pascal language keywords."
q_1173,"Databases","In a database, what does the term 'Field' refer to?","A database structural element","A hardware port","A network protocol","A web browser","A database structural element","Tables, records, keys and queries are database elements."
q_1174,"Hardware","Which of the following is classified as an Input Device?","Multimedia Projector","Plotter","Speaker","OCR Device","OCR Device","Input devices send data INTO the computer."
q_1175,"Networking","Which term is related to computer networking?","Monitor","Keyboard","URL","Printer","URL","It relates to connectivity or web addresses."
q_1176,"Databases","In a database, what does the term 'Field' refer to?","A network protocol","A hardware port","A database structural element","A web browser","A database structural element","Tables, records, keys and queries are database elements."
q_1177,"Logic Gates","Which logic gate performs a Boolean logic operation?","SSD","NOT","BIOS","USB","NOT","Logic gates operate on TRUE/FALSE values."
q_1178,"Legal/Ethical","Which Act in Sri Lanka governs aspects of ICT?","Computer Crimes Act No. 24 of 2007","Forest Act","Housing Act","Traffic Act","Computer Crimes Act No. 24 of 2007","Look for Computer/Electronic/Intellectual Property laws."
q_1179,"SDLC","Which of the following is a phase in the Systems Development Life Cycle?","Testing & Debugging","Printing","Gaming","Data Entry","Testing & Debugging","It is a step in building software."
q_1180,"Logic Gates","Which logic gate performs a Boolean logic operation?","OR","BIOS","USB","SSD","OR","Logic gates operate on TRUE/FALSE values."
q_1181,"SDLC","Which of the following is a phase in the Systems Development Life Cycle?","Printing","System Design","Gaming","Data Entry","System Design","It is a step in building software."
q_1182,"Web Development","Which HTML tag is used to define a large heading?","[link]","<h1>","{code}","<invalid>","<h1>","HTML tags start with < and end with >."
q_1183,"Logic Gates","Which logic gate performs a Boolean logic operation?","USB","SSD","BIOS","NOR","NOR","Logic gates operate on TRUE/FALSE values."
q_1184,"Web Development","Which HTML tag is used to create a hyperlink?","{code}","<invalid>","<a>","[link]","<a>","HTML tags start with < and end with >."
q_1185,"ICT Applications","The term 'E-Learning' is associated with which field?","Logic Gates","Data Representation","Networking","ICT Applications","ICT Applications","Think about how technology helps society."
q_1186,"Programming (Pascal)","Identify the valid Pascal keyword from the options:","System32","Login","Integer","WiFi","Integer","It is part of Pascal language keywords."
q_1187,"ICT Applications","The term 'ATM' is associated with which field?","Data Representation","Networking","ICT Applications","Logic Gates","ICT Applications","Think about how technology helps society."
q_1188,"Programming (Pascal)","Which of the following is a reserved keyword in Pascal?","WiFi","Login","System32","End","End","It is part of Pascal language keywords."
q_1189,"Legal/Ethical","Which Act in Sri Lanka governs aspects of ICT?","Forest Act","Housing Act","Intellectual Property Act","Traffic Act","Intellectual Property Act","Look for Computer/Electronic/Intellectual Property laws."
q_1190,"ICT Applications","Which of the following is a common application of ICT in modern society?","Pascal Syntax","CPU Architecture","Robotics in Industry","Binary Logic","Robotics in Industry","Think about how technology helps society."
q_1191,"Networking","Which term is related to computer networking?","Cloud Computing","Keyboard","Monitor","Printer","Cloud Computing","It relates to connectivity or web addresses."
q_1192,"Hardware","Which generation of computers is associated with Vacuum Tubes (1st Gen)?","Integrated Circuits (3rd Gen)","Transistors (2nd Gen)","Microprocessors (4th Gen)","Vacuum Tubes (1st Gen)","Vacuum Tubes (1st Gen)","Input devices send data INTO the computer."
q_1193,"ICT Applications","The term 'ATM' is associated with which field?","Data Representation","Logic Gates","Networking","ICT Applications","ICT Applications","Think about how technology helps society."
q_1194,"Databases","In a database, what does the term 'Table' refer to?","A database structural element","A web browser","A hardware port","A network protocol","A database structural element","Tables, records, keys and queries are database elements."
q_1195,"Operating Systems","What is a primary function of an Operating System?","Web Browsing","Photo Editing","Memory Management","Emailing","Memory Management","Think about managing resources and maintenance."
q_1196,"Hardware","Which generation of computers is associated with Transistors (2nd Gen)?","Vacuum Tubes (1st Gen)","Transistors (2nd Gen)","Microprocessors (4th Gen)","Integrated Circuits (3rd Gen)","Transistors (2nd Gen)","Input devices send data INTO the computer."
q_1197,"Data Representation","Which storage unit is valid and commonly used?","Hertz","Terabyte (TB)","Volt","Pixel","Terabyte (TB)","Think about file sizes (KB, MB, GB)."
q_1198,"Logic Gates","Which logic gate performs a Boolean logic operation?","SSD","USB","AND","BIOS","AND","Logic gates operate on TRUE/FALSE values."
q_1199,"Databases","In a database, what does the term 'Foreign Key' refer to?","A web browser","A network protocol","A hardware port","A database structural element","A database structural element","Tables, records, keys and queries are database elements."
q_1200,"Databases","In a database, what does the term 'Primary Key' refer to?","A network protocol","A database structural element","A web browser","A hardware port","A database structural element","Tables, records, keys and queries are database elements."
q_1201,"Health/Security","Which of the following is a cyber security threat?","Firewall","Worm","Antivirus","Backup","Worm","Threats are malicious software or attacks."
q_1202,"Networking","Which term is related to computer networking?","Keyboard","IP Address","Printer","Monitor","IP Address","It relates to connectivity or web addresses."
q_1203,"Programming (Pascal)","Identify the valid Pascal keyword from the options:","Login","WiFi","System32","Real","Real","It is part of Pascal language keywords."
q_1204,"Logic Gates","Which logic gate performs a Boolean logic operation?","AND","USB","SSD","BIOS","AND","Logic gates operate on TRUE/FALSE values."
q_1205,"Hardware","Which generation of computers is associated with Vacuum Tubes (1st Gen)?","Microprocessors (4th Gen)","Integrated Circuits (3rd Gen)","Transistors (2nd Gen)","Vacuum Tubes (1st Gen)","Vacuum Tubes (1st Gen)","Input devices send data INTO the computer."
q_1206,"Web Development","Which HTML tag is used to insert a line break?","[link]","{code}","<invalid>","<br>","<br>","HTML tags start with < and end with >."
q_1207,"Networking","Which term is related to computer networking?","Keyboard","Monitor","IP Address","Printer","IP Address","It relates to connectivity or web addresses."
q_1208,"Databases","In a database, what does the term 'Record' refer to?","A web browser","A database structural element","A hardware port","A network protocol","A database structural element","Tables, records, keys and queries are database elements."
q_1209,"Operating Systems","What is a primary function of an Operating System?","Web Browsing","Photo Editing","User Interface","Emailing","User Interface","Think about managing resources and maintenance."
q_1210,"Health/Security","Which of the following is a cyber security threat?","Backup","Worm","Firewall","Antivirus","Worm","Threats are malicious software or attacks."
q_1211,"ICT Applications","Which of the following is a common application of ICT in modern society?","Pascal Syntax","ATM","Binary Logic","CPU Architecture","ATM","Think about how technology helps society."
q_1212,"Data Representation","Which storage unit is valid and commonly used?","Pixel","Hertz","Volt","Megabyte (MB)","Megabyte (MB)","Think about file sizes (KB, MB, GB)."
q_1213,"ICT Applications","Which of the following is a common application of ICT in modern society?","E-Government","CPU Architecture","Pascal Syntax","Binary Logic","E-Government","Think about how technology helps society."
q_1214,"Operating Systems","What is a primary function of an Operating System?","Photo Editing","File Management","Web Browsing","Emailing","File Management","Think about managing resources and maintenance."
q_1215,"Web Development","Which HTML tag is used to insert a line break?","[link]","<invalid>","{code}","<br>","<br>","HTML tags start with < and end with >."
q_1216,"SDLC","Which of the following is a phase in the Systems Development Life Cycle?","Testing & Debugging","Gaming","Data Entry","Printing","Testing & Debugging","It is a step in building software."
q_1217,"Legal/Ethical","Which Act in Sri Lanka governs aspects of ICT?","Forest Act","Traffic Act","Housing Act","Electronic Transactions Act","Electronic Transactions Act","Look for Computer/Electronic/Intellectual Property laws."
q_1218,"SDLC","Which of the following is a phase in the Systems Development Life Cycle?","Gaming","Data Entry","System Design","Printing","System Design","It is a step in building software."
q_1219,"Databases","In a database, what does the term 'Record' refer to?","A database structural element","A hardware port","A web browser","A network protocol","A database structural element","Tables, records, keys and queries are database elements."
q_1220,"Programming (Pascal)","Identify the valid Pascal keyword from the options:","WiFi","If..Then","System32","Login","If..Then","It is part of Pascal language keywords."
q_1221,"Logic Gates","Which logic gate performs a Boolean logic operation?","USB","BIOS","OR","SSD","OR","Logic gates operate on TRUE/FALSE values."
q_1222,"Databases","In a database, what does the term 'Table' refer to?","A network protocol","A database structural element","A web browser","A hardware port","A database structural element","Tables, records, keys and queries are database elements."
q_1223,"SDLC","Which of the following is a phase in the Systems Development Life Cycle?","Testing & Debugging","Gaming","Printing","Data Entry","Testing & Debugging","It is a step in building software."
q_1224,"SDLC","Which of the following is a phase in the Systems Development Life Cycle?","Gaming","Data Entry","System Design","Printing","System Design","It is a step in building software."
q_1225,"Operating Systems","What is a primary function of an Operating System?","Device Management","Emailing","Photo Editing","Web Browsing","Device Management","Think about managing resources and maintenance."
q_1226,"Hardware","Which generation of computers is associated with Integrated Circuits (3rd Gen)?","Vacuum Tubes (1st Gen)","Integrated Circuits (3rd Gen)","Microprocessors (4th Gen)","Transistors (2nd Gen)","Integrated Circuits (3rd Gen)","Input devices send data INTO the computer."
q_1227,"ICT Applications","The term 'Tele-medicine' is associated with which field?","Networking","Data Representation","Logic Gates","ICT Applications","ICT Applications","Think about how technology helps society."
q_1228,"SDLC","Which of the following is a phase in the Systems Development Life Cycle?","Gaming","Implementation/Coding","Data Entry","Printing","Implementation/Coding","It is a step in building software."
q_1229,"Operating Systems","Which utility software is essential for system maintenance?","Chrome","MS Word","Antivirus","Photoshop","Antivirus","Think about managing resources and maintenance."
q_1230,"Programming (Pascal)","Which of the following is a reserved keyword in Pascal?","While..Do","Login","System32","WiFi","While..Do","It is part of Pascal language keywords."
q_1231,"ICT Applications","The term 'ATM' is associated with which field?","Data Representation","Networking","ICT Applications","Logic Gates","ICT Applications","Think about how technology helps society."
q_1232,"Networking","Which term is related to computer networking?","Cloud Computing","Monitor","Keyboard","Printer","Cloud Computing","It relates to connectivity or web addresses."
q_1233,"Legal/Ethical","Which Act in Sri Lanka governs aspects of ICT?","Forest Act","Housing Act","Traffic Act","Intellectual Property Act","Intellectual Property Act","Look for Computer/Electronic/Intellectual Property laws."
q_1234,"Networking","Which term is related to computer networking?","Keyboard","Monitor","Printer","Cloud Computing","Cloud Computing","It relates to connectivity or web addresses."
q_1235,"Hardware","Which generation of computers is associated with Vacuum Tubes (1st Gen)?","Integrated Circuits (3rd Gen)","Vacuum Tubes (1st Gen)","Transistors (2nd Gen)","Microprocessors (4th Gen)","Vacuum Tubes (1st Gen)","Input devices send data INTO the computer."
q_1236,"Programming (Pascal)","Which of the following is a reserved keyword in Pascal?","Login","WiFi","System32","If..Then","If..Then","It is part of Pascal language keywords."
q_1237,"Web Development","Which HTML tag is used to create a hyperlink?","[link]","{code}","<a>","<invalid>","<a>","HTML tags start with < and end with >."
q_1238,"Health/Security","Which of the following is a cyber security threat?","Software Piracy","Backup","Antivirus","Firewall","Software Piracy","Threats are malicious software or attacks."
q_1239,"Operating Systems","Which utility software is essential for system maintenance?","Photoshop","Chrome","MS Word","Antivirus","Antivirus","Think about managing resources and maintenance."
q_1240,"ICT Applications","The term 'Tele-medicine' is associated with which field?","Networking","Data Representation","ICT Applications","Logic Gates","ICT Applications","Think about how technology helps society."
q_1241,"Databases","In a database, what does the term 'Report' refer to?","A web browser","A database structural element","A hardware port","A network protocol","A database structural element","Tables, records, keys and queries are database elements."
q_1242,"Programming (Pascal)","Which of the following is a reserved keyword in Pascal?","While..Do","System32","WiFi","Login","While..Do","It is part of Pascal language keywords."
q_1243,"SDLC","Which of the following is a phase in the Systems Development Life Cycle?","Gaming","Data Entry","Testing & Debugging","Printing","Testing & Debugging","It is a step in building software."
q_1244,"Programming (Pascal)","Which of the following is a reserved keyword in Pascal?","If..Then","WiFi","System32","Login","If..Then","It is part of Pascal language keywords."
q_1245,"Legal/Ethical","Which Act in Sri Lanka governs aspects of ICT?","Traffic Act","Housing Act","Forest Act","Intellectual Property Act","Intellectual Property Act","Look for Computer/Electronic/Intellectual Property laws."
q_1246,"Web Development","Which HTML tag is used to define the root of an HTML document?","<html>","{code}","[link]","<invalid>","<html>","HTML tags start with < and end with >."
q_1247,"Data Representation","Which standard is used for character encoding?","TCP/IP","Unicode","HTTP","HTML","Unicode","It maps characters to numbers."
q_1248,"Hardware","Which of the following is classified as an Input Device?","Speaker","MICR Device","Speaker","Plotter","MICR Device","Input devices send data INTO the computer."
q_1249,"Hardware","Which generation of computers is associated with Integrated Circuits (3rd Gen)?","Microprocessors (4th Gen)","Integrated Circuits (3rd Gen)","Transistors (2nd Gen)","Vacuum Tubes (1st Gen)","Integrated Circuits (3rd Gen)","Input devices send data INTO the computer."
q_1250,"Networking","Which term is related to computer networking?","Cloud Computing","Monitor","Keyboard","Printer","Cloud Computing","It relates to connectivity or web addresses."
q_1251,"SDLC","Which of the following is a phase in the Systems Development Life Cycle?","Gaming","Deployment","Printing","Data Entry","Deployment","It is a step in building software."
q_1252,"Networking","Which term is related to computer networking?","Printer","TCP/IP","Monitor","Keyboard","TCP/IP","It relates to connectivity or web addresses."
q_1253,"Databases","In a database, what does the term 'Record' refer to?","A hardware port","A network protocol","A web browser","A database structural element","A database structural element","Tables, records, keys and queries are database elements."
q_1254,"Health/Security","Which of the following is a cyber security threat?","Antivirus","Software Piracy","Firewall","Backup","Software Piracy","Threats are malicious software or attacks."
q_1255,"SDLC","Which of the following is a phase in the Systems Development Life Cycle?","Data Entry","Printing","Gaming","Requirement Identification","Requirement Identification","It is a step in building software."
q_1256,"Networking","Which term is related to computer networking?","Keyboard","Client-Server","Monitor","Printer","Client-Server","It relates to connectivity or web addresses."
q_1257,"Databases","In a database, what does the term 'Primary Key' refer to?","A network protocol","A web browser","A hardware port","A database structural element","A database structural element","Tables, records, keys and queries are database elements."
q_1258,"Logic Gates","Which logic gate performs a Boolean logic operation?","BIOS","OR","SSD","USB","OR","Logic gates operate on TRUE/FALSE values."
q_1259,"Hardware","Which generation of computers is associated with Vacuum Tubes (1st Gen)?","Vacuum Tubes (1st Gen)","Microprocessors (4th Gen)","Integrated Circuits (3rd Gen)","Transistors (2nd Gen)","Vacuum Tubes (1st Gen)","Input devices send data INTO the computer."
q_1260,"Logic Gates","Which logic gate performs a Boolean logic operation?","SSD","NAND","USB","BIOS","NAND","Logic gates operate on TRUE/FALSE values."
q_1261,"SDLC","Which of the following is a phase in the Systems Development Life Cycle?","Implementation/Coding","Printing","Data Entry","Gaming","Implementation/Coding","It is a step in building software."
q_1262,"Health/Security","Which of the following is a cyber security threat?","Backup","Antivirus","Trojan Horse","Firewall","Trojan Horse","Threats are malicious software or attacks."
q_1263,"Logic Gates","Which logic gate performs a Boolean logic operation?","NOT","USB","BIOS","SSD","NOT","Logic gates operate on TRUE/FALSE values."
q_1264,"Data Representation","Which storage unit is valid and commonly used?","Volt","Pixel","Kilobyte (KB)","Hertz","Kilobyte (KB)","Think about file sizes (KB, MB, GB)."
q_1265,"Hardware","Which of the following is classified as an Input Device?","Speaker","Inkjet Printer","Mouse","Plotter","Mouse","Input devices send data INTO the computer."
q_1266,"Databases","In a database, what does the term 'Table' refer to?","A network protocol","A web browser","A hardware port","A database structural element","A database structural element","Tables, records, keys and queries are database elements."
q_1267,"Health/Security","Which of the following is a cyber security threat?","Antivirus","Backup","Firewall","Hacking","Hacking","Threats are malicious software or attacks."
q_1268,"Operating Systems","Which utility software is essential for system maintenance?","Photoshop","Chrome","Disk Formatting","MS Word","Disk Formatting","Think about managing resources and maintenance."
q_1269,"Health/Security","Which of the following is a cyber security threat?","Worm","Firewall","Antivirus","Backup","Worm","Threats are malicious software or attacks."
q_1270,"SDLC","Which of the following is a phase in the Systems Development Life Cycle?","Data Entry","Printing","Deployment","Gaming","Deployment","It is a step in building software."
q_1271,"SDLC","Which of the following is a phase in the Systems Development Life Cycle?","Data Entry","Gaming","Printing","Deployment","Deployment","It is a step in building software."
q_1272,"Operating Systems","What is a primary function of an Operating System?","Photo Editing","Memory Management","Emailing","Web Browsing","Memory Management","Think about managing resources and maintenance."
q_1273,"Web Development","Which HTML tag is used to insert a line break?","<invalid>","<br>","[link]","{code}","<br>","HTML tags start with < and end with >."
q_1274,"Programming (Pascal)","Identify the valid Pascal keyword from the options:","Login","WiFi","Var","System32","Var","It is part of Pascal language keywords."
q_1275,"Programming (Pascal)","Which of the following is a reserved keyword in Pascal?","WiFi","Login","For..Do","System32","For..Do","It is part of Pascal language keywords."
q_1276,"Hardware","Which of the following is classified as an Input Device?","Scanner","Speaker","Speaker","Plotter","Scanner","Input devices send data INTO the computer."
q_1277,"Data Representation","Which standard is used for character encoding?","ASCII","HTTP","TCP/IP","HTML","ASCII","It maps characters to numbers."
q_1278,"Operating Systems","Which utility software is essential for system maintenance?","Chrome","File Compression","MS Word","Photoshop","File Compression","Think about managing resources and maintenance."
q_1279,"Databases","In a database, what does the term 'Form' refer to?","A network protocol","A web browser","A hardware port","A database structural element","A database structural element","Tables, records, keys and queries are database elements."
q_1280,"Operating Systems","Which utility software is essential for system maintenance?","MS Word","Chrome","Photoshop","Disk Defragmenter","Disk Defragmenter","Think about managing resources and maintenance."
q_1281,"Legal/Ethical","Which Act in Sri Lanka governs aspects of ICT?","Housing Act","Computer Crimes Act No. 24 of 2007","Traffic Act","Forest Act","Computer Crimes Act No. 24 of 2007","Look for Computer/Electronic/Intellectual Property laws."
q_1282,"Programming (Pascal)","Identify the valid Pascal keyword from the options:","Login","System32","WiFi","Real","Real","It is part of Pascal language keywords."
q_1283,"SDLC","Which of the following is a phase in the Systems Development Life Cycle?","Data Entry","Printing","Gaming","Requirement Identification","Requirement Identification","It is a step in building software."
q_1284,"Networking","Which term is related to computer networking?","Printer","Keyboard","Client-Server","Monitor","Client-Server","It relates to connectivity or web addresses."
q_1285,"Hardware","Find the Input Device from the list below:","Plotter","Mouse","Plotter","Speaker","Mouse","Input devices send data INTO the computer."
q_1286,"Programming (Pascal)","Identify the valid Pascal keyword from the options:","If..Then","Login","System32","WiFi","If..Then","It is part of Pascal language keywords."
q_1287,"Programming (Pascal)","In Pascal syntax, which word has a special meaning?","System32","WiFi","Login","Repeat..Until","Repeat..Until","It is part of Pascal language keywords."
q_1288,"ICT Applications","The term 'Smart Agriculture' is associated with which field?","ICT Applications","Networking","Logic Gates","Data Representation","ICT Applications","Think about how technology helps society."
q_1289,"SDLC","Which of the following is a phase in the Systems Development Life Cycle?","Gaming","Deployment","Printing","Data Entry","Deployment","It is a step in building software."
q_1290,"Hardware","Which generation of computers is associated with Microprocessors (4th Gen)?","Microprocessors (4th Gen)","Integrated Circuits (3rd Gen)","Vacuum Tubes (1st Gen)","Transistors (2nd Gen)","Microprocessors (4th Gen)","Input devices send data INTO the computer."
q_1291,"Programming (Pascal)","Identify the valid Pascal keyword from the options:","WiFi","Login","System32","Begin","Begin","It is part of Pascal language keywords."
q_1292,"Databases","In a database, what does the term 'Foreign Key' refer to?","A database structural element","A hardware port","A network protocol","A web browser","A database structural element","Tables, records, keys and queries are database elements."
q_1293,"Legal/Ethical","Which Act in Sri Lanka governs aspects of ICT?","Forest Act","Housing Act","Electronic Transactions Act","Traffic Act","Electronic Transactions Act","Look for Computer/Electronic/Intellectual Property laws."
q_1294,"Operating Systems","What is a primary function of an Operating System?","Emailing","Web Browsing","Photo Editing","User Interface","User Interface","Think about managing resources and maintenance."
q_1295,"Data Representation","Which standard is used for character encoding?","EBCDIC","HTTP","HTML","TCP/IP","EBCDIC","It maps characters to numbers."
q_1296,"Operating Systems","Which utility software is essential for system maintenance?","Chrome","Photoshop","MS Word","File Compression","File Compression","Think about managing resources and maintenance."
q_1297,"Health/Security","Which of the following is a cyber security threat?","Backup","Firewall","Antivirus","Software Piracy","Software Piracy","Threats are malicious software or attacks."
q_1298,"Logic Gates","Which logic gate performs a Boolean logic operation?","SSD","USB","BIOS","NAND","NAND","Logic gates operate on TRUE/FALSE values."
q_1299,"ICT Applications","The term 'E-Learning' is associated with which field?","Logic Gates","ICT Applications","Data Representation","Networking","ICT Applications","Think about how technology helps society."
q_1300,"Data Representation","Which standard is used for character encoding?","HTTP","TCP/IP","HTML","ASCII","ASCII","It maps characters to numbers."
q_1301,"SDLC","Which of the following is a phase in the Systems Development Life Cycle?","Gaming","Requirement Identification","Printing","Data Entry","Requirement Identification","It is a step in building software."
q_1302,"Health/Security","Which of the following is a cyber security threat?","Antivirus","Firewall","Software Piracy","Backup","Software Piracy","Threats are malicious software or attacks."
q_1303,"SDLC","Which of the following is a phase in the Systems Development Life Cycle?","Data Entry","System Design","Printing","Gaming","System Design","It is a step in building software."
q_1304,"Databases","In a database, what does the term 'Table' refer to?","A web browser","A hardware port","A database structural element","A network protocol","A database structural element","Tables, records, keys and queries are database elements."
q_1305,"Hardware","Which of the following is classified as an Input Device?","Speaker","Multimedia Projector","Barcode Reader","Plotter","Barcode Reader","Input devices send data INTO the computer."
q_1306,"ICT Applications","Which of the following is a common application of ICT in modern society?","E-Learning","Binary Logic","Pascal Syntax","CPU Architecture","E-Learning","Think about how technology helps society."
q_1307,"Data Representation","Which standard is used for character encoding?","HTML","EBCDIC","TCP/IP","HTTP","EBCDIC","It maps characters to numbers."
q_1308,"Operating Systems","Which utility software is essential for system maintenance?","Chrome","File Compression","MS Word","Photoshop","File Compression","Think about managing resources and maintenance."
q_1309,"Health/Security","Which of the following is a cyber security threat?","Virus","Firewall","Backup","Antivirus","Virus","Threats are malicious software or attacks."
q_1310,"Logic Gates","Which logic gate performs a Boolean logic operation?","SSD","USB","BIOS","AND","AND","Logic gates operate on TRUE/FALSE values."
q_1311,"Logic Gates","Which logic gate performs a Boolean logic operation?","NOR","SSD","BIOS","USB","NOR","Logic gates operate on TRUE/FALSE values."
q_1312,"Operating Systems","Which utility software is essential for system maintenance?","Photoshop","MS Word","Disk Formatting","Chrome","Disk Formatting","Think about managing resources and maintenance."
q_1313,"Operating Systems","Which utility software is essential for system maintenance?","Photoshop","Antivirus","MS Word","Chrome","Antivirus","Think about managing resources and maintenance."
q_1314,"Data Representation","Which standard is used for character encoding?","TCP/IP","HTTP","HTML","BCD","BCD","It maps characters to numbers."
q_1315,"Hardware","Select the device used to send data INTO the computer:","Speaker","Inkjet Printer","MICR Device","Plotter","MICR Device","Input devices send data INTO the computer."
q_1316,"Health/Security","Which of the following is a cyber security threat?","Backup","Phishing","Antivirus","Firewall","Phishing","Threats are malicious software or attacks."
q_1317,"Networking","Which term is related to computer networking?","Keyboard","DNS","Monitor","Printer","DNS","It relates to connectivity or web addresses."
q_1318,"Hardware","Select the device used to send data INTO the computer:","Mouse","Plotter","Inkjet Printer","Speaker","Mouse","Input devices send data INTO the computer."
q_1319,"Health/Security","Which of the following is a cyber security threat?","Firewall","Antivirus","Phishing","Backup","Phishing","Threats are malicious software or attacks."
q_1320,"Web Development","Which HTML tag is used to define the document body?","<invalid>","[link]","<body>","{code}","<body>","HTML tags start with < and end with >."
q_1321,"Networking","Which term is related to computer networking?","Client-Server","Monitor","Printer","Keyboard","Client-Server","It relates to connectivity or web addresses."
q_1322,"Legal/Ethical","Which Act in Sri Lanka governs aspects of ICT?","Housing Act","Forest Act","Intellectual Property Act","Traffic Act","Intellectual Property Act","Look for Computer/Electronic/Intellectual Property laws."
q_1323,"ICT Applications","The term 'Tele-medicine' is associated with which field?","Logic Gates","ICT Applications","Networking","Data Representation","ICT Applications","Think about how technology helps society."
q_1324,"Databases","In a database, what does the term 'Report' refer to?","A network protocol","A database structural element","A web browser","A hardware port","A database structural element","Tables, records, keys and queries are database elements."
q_1325,"Operating Systems","What is a primary function of an Operating System?","Device Management","Emailing","Web Browsing","Photo Editing","Device Management","Think about managing resources and maintenance."
q_1326,"Health/Security","Which of the following is a cyber security threat?","Antivirus","Worm","Backup","Firewall","Worm","Threats are malicious software or attacks."
q_1327,"Health/Security","Which of the following is a cyber security threat?","Backup","Phishing","Firewall","Antivirus","Phishing","Threats are malicious software or attacks."
q_1328,"Health/Security","Which of the following is a cyber security threat?","Firewall","Backup","Antivirus","Trojan Horse","Trojan Horse","Threats are malicious software or attacks."
q_1329,"Programming (Pascal)","Identify the valid Pascal keyword from the options:","System32","Boolean","Login","WiFi","Boolean","It is part of Pascal language keywords."
q_1330,"Programming (Pascal)","Which of the following is a reserved keyword in Pascal?","While..Do","System32","WiFi","Login","While..Do","It is part of Pascal language keywords."
q_1331,"Databases","In a database, what does the term 'Field' refer to?","A network protocol","A database structural element","A hardware port","A web browser","A database structural element","Tables, records, keys and queries are database elements."
